Airline;Price_ranking
AirAsia X;0.07
Air India;0.08
Indonesia AirAsia;0.08
Primera Air;0.09
Air India Limited;0.10
Etihad Airways;0.10
IndiGo Airlines;0.10
Jet Airways;0.10
Oman Air;0.10
Qantas;0.10
Ryanair;0.10
Laudamotion;0.10
Virgin Australia;0.10
WOW air;0.10
AirAsia Philippines;0.11
Cathay Pacific;0.11
Cebu Pacific;0.11
China Airlines;0.11
China Southern Airlines;0.11
Emirates;0.11
Gulf Air;0.11
Hainan Airlines;0.11
Jetstar;0.11
Kuwait Airways;0.11
Lion Mentari Airlines;0.11
Pakistan International;0.11
Qatar Airways;0.11
Royal Brunei Airlines;0.11
Scoot Tigerair;0.11
Singapore Airlines;0.11
SriLankan Airlines;0.11
Thai Lion Mentari;0.11
Aigle Azur;0.12
Air Astana;0.12
Air China Ltd;0.12
Biman Bangladesh;0.12
China Eastern Airlines;0.12
EVA Air;0.12
Garuda Indonesia;0.12
Philippine Airlines;0.12
Saudia;0.12
Spicejet;0.12
Aeroflot;0.13
Air Arabia Maroc;0.13
Air New Zealand;0.13
Air Transat;0.13
AirAsia;0.13
All Nippon Airways;0.13
Fiji Airways;0.13
Hawaiian Airlines;0.13
Japan Airlines;0.13
Jetstar Asia Airways;0.13
Malaysia Airlines;0.13
Malindo Airways;0.13
SATA International;0.13
Sichuan Airlines;0.13
Thai Airways International;0.13
Uzbekistan;0.13
Virgin Atlantic;0.13
Wizz Air;0.13
Xiamen Airlines;0.13
El Al;0.14
Ethiopian Airlines;0.14
Iberia Express;0.14
Icelandair;0.14
Korean Air;0.14
Royal Jordanian;0.14
Thomas Cook;0.14
Tigerair Taiwan;0.14
Transavia Holland;0.14
Air Seychelles;0.15
Asiana Airlines;0.15
AtlasGlobal;0.15
Condor;0.15
Egyptair;0.15
Hong Kong;0.15
Hong Kong Express;0.15
Meridiana;0.15
Nok Air;0.15
Peach Aviation Limited;0.15
TAAG Angola Airlines;0.15
Ukraine International;0.15
VivaColombia;0.15
Air Arabia;0.16
Air Canada;0.16
Air Tahiti Nui;0.16
Azerbaijan Airlines;0.16
Finnair;0.16
Tap Air Portugal;0.16
Portugalia Airlines;0.16
Turkish Airlines;0.16
United Airlines;0.16
Vietnam Airlines;0.16
Air Europa;0.17
Air Mauritius;0.17
Avianca Brazil;0.17
Blue Panorama Airlines;0.17
Georgian Airways;0.17
Interjet;0.17
Latam Airlines;0.17
Norwegian Air Shuttle;0.17
S7 Airlines;0.17
Sunexpress;0.17
TUI fly Belgium;0.17
Ural Airlines;0.17
Volaris;0.17
Alaska Airlines, Inc.;0.18
American Airlines;0.18
Azul;0.18
Blue Air;0.18
Boliviana de Aviación;0.18
Jet2.com;0.18
Jetstar Pacific Airlines;0.18
Royal Air Maroc;0.18
Spirit Airlines;0.18
Thai AirAsia;0.18
Aegean Airlines;0.19
Aeromexico;0.19
Air Baltic;0.19
Eastar Jet;0.19
Easyjet;0.19
Flydubai;0.19
Iberia;0.19
JetBlue Airways;0.19
Jin Air;0.19
South African Airways;0.19
T'way Air;0.19
TUIfly;0.19
Vietjet Air;0.19
Volotea;0.19
Air France;0.20
Air Moldova;0.20
Delta Air Lines;0.20
Alitalia;0.20
British Airways;0.20
Bulgaria Air;0.20
Jeju Air;0.20
Kenya Airways;0.20
KLM;0.20
LATAM Chile;0.20
Middle East Airlines;0.20
Pegasus Airlines;0.20
Shenzhen Airlines;0.20
Tarom;0.20
UTair Aviation;0.20
Aer Lingus;0.21
Air Macau;0.21
Air Namibia;0.21
Avianca;0.21
Belavia;0.21
Brussels Airlines;0.21
LOT;0.21
Rwandair Express;0.21
SAS;0.21
SilkAir;0.21
Sky Airline;0.21
Swiss;0.21
Vueling;0.21
Air Austral;0.22
Avior Airlines;0.22
Hahn Air;0.22
Lufthansa;0.22
Westjet;0.22
Air Algérie;0.23
Air Serbia;0.23
Air Serbia;0.23
CSA;0.23
Thomson Airways;0.23
Shanghai Airlines;0.24
Aerolineas Argentinas;0.24
Austrian;0.25
Tunisair;0.25
Aerolíneas Argentinas;0.26
Air Malta;0.26
Copa Airlines;0.26
Eurowings;0.26
Germanwings;0.26
Hahn Air Systems;0.26
TAME;0.26
Travel Service;0.26
Cathay Dragon;0.27
Flynas;0.27
Thai Smile;0.27
Gol;0.28
Juneyao Airlines;0.28
Corsairfly;0.30
Croatia Airlines;0.30
Firefly;0.30
Bangkok Airways;0.31
Cubana de Aviación;0.34
Flybe;0.34
Luxair;0.34
Air Caraïbes;0.35
CityJet;0.35
Lao Airlines;0.35
Adria Airways;0.36
Caribbean Airlines;0.37
Montenegro Airlines;0.37
Widerøe;0.38
Hop!;0.41
Cambodia Angkor Air;0.44
Porter Airlines;0.44
Amaszonas;0.45
Sky Work Airlines;0.45
BMI Regional;0.47
Air Dolomiti;0.48
Israir Airlines;0.49